X6,X23,X27,X32,X34,X37,X46,X48,X64,X73,X84,X94,X97,X8,X13,X29,X31,X39,X63,X87,X3,X15,X41,X45,X52,X66,X67,X86,X11,X16,X19,X38,X50,X79,X93,X14,X17,X53,X58,X71,X90,X18,X20,X35,X43,X60,X80,X54,X55,X76,X91,X56,X70,X74,X78,X82,X12,X28,X47,X51,X65,X72,X96,X4,X22,X57,X61,X69,X83,X88,X36,X68,X81,X89,X9,X10,X59,X92,X25,X44,X95,X2,X24,X42,X1,X40,X98,X100,X21,X33,X49,X75,X7,X62,X77,X85,X99,X5,X26,X30
2,1,0,2,0,0,1,1,2,1,0,1,0,1,1,1,3,0,1,1,0,3,3,0,2,0,2,1,3,2,1,1,1,0,0,3,1,1,2,2,0,3,1,2,1,0,0,0,0,0,3,0,0,1,2,3,3,1,0,0,1,0,0,2,3,0,2,1,3,1,1,1,1,0,2,2,1,1,3,1,2,1,1,2,2,0,0,2,2,1,3,2,0,2,0,3,1,3,1,2
2,0,0,0,0,0,1,0,2,1,2,2,2,0,1,0,3,2,0,2,1,1,3,1,0,0,2,3,3,2,3,0,0,0,0,2,1,1,2,0,0,2,1,2,0,1,0,0,1,1,3,2,0,1,2,1,0,1,1,0,2,0,1,0,1,3,1,0,3,1,1,0,1,0,2,1,0,1,2,2,2,1,0,2,3,0,0,1,2,2,3,3,0,3,0,1,1,2,1,1
2,3,0,1,0,1,1,0,2,0,0,2,0,1,2,1,0,0,1,2,0,3,3,0,0,1,2,0,0,1,0,0,1,0,1,3,0,0,2,0,1,2,0,2,1,1,0,2,1,0,0,2,1,3,1,2,0,2,3,0,0,1,1,2,3,2,3,0,1,1,2,0,1,3,2,0,2,2,0,0,1,0,1,2,3,0,1,1,3,1,1,2,0,3,1,0,1,1,0,2
2,0,1,2,1,0,1,0,1,1,0,2,3,0,1,0,3,2,2,2,2,3,3,0,0,1,1,3,3,1,2,1,0,0,0,3,1,1,1,1,2,1,2,0,0,0,0,0,1,1,3,2,1,1,2,1,1,1,0,1,0,1,1,0,0,2,2,1,1,1,2,0,1,0,0,2,3,1,3,0,1,0,0,2,1,0,1,0,2,1,3,2,1,2,1,3,1,2,0,2
2,2,0,1,0,1,0,1,3,1,1,2,0,1,2,2,3,2,0,1,2,2,3,1,0,0,2,3,1,2,1,0,1,0,0,3,1,0,1,2,0,3,0,0,0,0,2,2,1,1,1,0,0,0,0,3,0,0,2,0,2,0,1,1,3,3,3,0,1,1,1,1,0,3,0,2,2,1,1,2,2,1,2,2,1,1,1,1,2,0,0,1,0,0,1,2,0,2,1,0
2,1,0,2,0,1,1,2,2,1,0,1,0,0,0,1,3,2,0,1,0,0,3,0,1,0,1,1,3,2,0,1,0,0,3,0,1,1,3,2,0,2,0,2,0,0,0,0,0,1,0,1,1,1,3,0,0,0,1,1,2,0,1,0,1,0,0,0,2,1,1,0,1,2,0,0,0,1,0,0,0,0,2,0,3,0,0,2,3,1,3,3,1,1,1,2,0,2,1,0
2,3,0,1,0,0,1,0,3,1,0,1,0,0,1,1,1,0,1,0,0,2,1,0,2,0,1,2,0,2,2,1,0,1,1,0,1,1,1,1,2,0,0,2,1,0,1,0,1,1,0,2,0,1,0,0,0,1,0,0,0,1,1,1,3,0,1,0,0,0,1,1,0,2,2,2,2,2,2,1,2,0,2,1,1,2,1,2,3,1,0,3,0,2,0,3,0,2,0,1
2,1,0,0,0,1,1,2,2,0,1,2,0,0,2,1,3,1,1,1,1,2,1,0,0,1,2,2,3,1,0,1,0,0,2,0,1,0,2,1,1,0,2,0,1,0,0,0,0,1,1,1,0,0,0,2,2,0,2,1,0,0,0,0,0,2,1,0,2,1,3,3,0,0,1,0,0,2,2,1,0,0,0,1,3,0,1,1,2,0,2,2,1,2,1,0,0,3,0,2
2,2,0,2,0,1,1,3,3,1,1,0,3,0,2,0,2,2,2,1,1,3,3,1,0,0,1,2,0,2,0,1,0,0,3,2,1,1,0,2,2,3,1,0,0,0,0,0,1,1,1,0,0,0,3,2,1,1,2,0,1,1,1,2,2,2,1,1,2,1,0,2,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,2,1,1,2,3,0,0,1,2,1,1,1,2
2,2,0,1,1,0,1,2,2,1,0,2,0,0,0,2,3,2,1,2,2,2,3,1,1,0,2,2,3,2,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,2,0,1,2,2,2,1,2,2,0,2,0,1,1,3,3,2,1,1,1,2,0,1,0,1,2,3,2,0,2,0,1,0,0,0,1,1,1,0,2,3,1,1,2,0,2,0,3,1,0
2,1,1,2,0,0,1,0,2,1,1,0,0,1,0,1,3,1,1,2,2,2,3,0,2,0,1,2,2,2,1,1,1,0,0,0,1,0,1,2,2,3,0,0,1,1,2,0,0,0,2,0,0,0,0,1,0,0,2,0,1,1,1,0,1,3,3,0,1,1,3,1,0,2,0,1,1,1,3,0,1,1,1,0,2,0,0,0,1,2,1,3,1,2,0,3,1,0,0,2
0,1,1,0,0,0,1,0,2,1,2,0,1,1,3,1,3,0,2,2,0,1,1,0,2,0,1,3,1,2,1,1,0,0,0,0,0,1,1,1,0,3,0,1,0,0,0,2,1,1,2,2,1,1,2,1,1,0,3,0,1,0,0,2,2,1,1,1,0,0,0,1,1,3,2,2,0,0,0,1,3,1,0,1,0,2,0,1,2,1,3,3,1,3,0,0,1,3,1,0
2,0,1,2,0,0,1,2,2,1,0,2,2,1,1,0,3,1,0,2,2,2,1,1,1,0,1,2,3,1,2,1,0,0,3,1,1,1,0,2,0,2,2,0,0,0,1,1,1,0,3,2,0,0,0,0,0,0,3,1,0,1,1,1,1,0,0,0,1,1,1,3,0,1,2,1,1,2,2,1,2,1,1,3,3,1,1,1,2,0,2,1,1,2,1,1,0,3,0,0
