X14,X15,X17,X6,X7,X8,X3,X12,X4,X9,X16,X18,X5,X19,X20,X11,X13,X1,X10,X2
0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0
0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0
0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0
1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0
0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1
1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1
1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1
0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1
0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1
1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0
1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0
1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0
1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0
0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1
1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1
1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1
0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1
0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0
0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1
0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1
0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0
0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0
0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0
0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0
0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1
0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1
0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1
0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0
0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0
0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1
1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0
1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0
