e,n,d,s,graph,dtype,baseline,etrue,espur,emiss,efals,shd,precision,recall,F1,spuriousness
10,1000,500,500,ER,logistic,Proposal,288,133,141,71,345,0.5853658536585366,0.6713286713286714,0.6254071661237786,0.2703252032520325
10,1000,400,400,ER,logistic,Proposal,251,96,99,50,245,0.6322418136020151,0.7171428571428572,0.672021419009371,0.24181360201511334
10,1000,300,300,ER,logistic,Proposal,180,74,79,41,194,0.6101694915254238,0.694980694980695,0.6498194945848376,0.25084745762711863
10,1000,200,200,ER,logistic,Proposal,120,55,46,34,135,0.5741626794258373,0.7228915662650602,0.64,0.2631578947368421
10,1000,100,100,ER,logistic,Proposal,64,24,23,13,60,0.6336633663366337,0.735632183908046,0.6808510638297872,0.2376237623762376
10,1000,500,500,ER,logistic,CDNOD,248,1951,0,252,2203,0.10118319053447572,1.0,0.18377176732123007,0.7960016319869441
10,1000,400,400,ER,logistic,CDNOD,207,1322,0,193,1515,0.12020905923344948,1.0,0.21461897356143078,0.7677119628339141
10,1000,300,300,ER,logistic,CDNOD,166,785,4,130,919,0.15356151711378355,0.9764705882352941,0.26538768984812156,0.7261794634597595
10,1000,200,200,ER,logistic,CDNOD,94,342,19,87,448,0.17973231357552583,0.831858407079646,0.2955974842767296,0.6539196940726577
10,1000,100,100,ER,logistic,CDNOD,63,104,0,37,141,0.3088235294117647,1.0,0.4719101123595506,0.5098039215686274
10,1000,80,80,ER,logistic,Proposal,36,19,31,13,63,0.5294117647058824,0.5373134328358209,0.5333333333333332,0.27941176470588236
10,1000,60,60,ER,logistic,Proposal,34,20,18,8,46,0.5483870967741935,0.6538461538461539,0.5964912280701755,0.3225806451612903
10,1000,40,40,ER,logistic,Proposal,16,9,15,9,33,0.47058823529411764,0.5161290322580645,0.4923076923076923,0.2647058823529412
10,1000,20,20,ER,logistic,Proposal,12,2,6,2,10,0.75,0.6666666666666666,0.7058823529411765,0.125
10,1000,10,10,ER,logistic,Proposal,3,2,4,3,9,0.375,0.42857142857142855,0.39999999999999997,0.25
10,1000,80,80,ER,logistic,CDNOD,47,62,0,33,95,0.33098591549295775,1.0,0.4973544973544974,0.43661971830985913
10,1000,60,60,ER,logistic,CDNOD,34,39,0,26,65,0.3434343434343434,1.0,0.5112781954887218,0.3939393939393939
10,1000,40,40,ER,logistic,CDNOD,25,20,0,15,35,0.4166666666666667,1.0,0.5882352941176471,0.3333333333333333
10,1000,20,20,ER,logistic,CDNOD,19,5,0,1,6,0.76,1.0,0.8636363636363636,0.2
10,1000,10,10,ER,logistic,CDNOD,8,0,0,2,2,0.8,1.0,0.888888888888889,0.0
