dataname,d,s,baseline,etrue,espur,emiss,efals,shd,tpr,time
notears,20,20,FCI,6,10,10,4,24,0.3,4.860151052474976
notears,20,20,Notears,4,0,16,0,16,1.0,6.936384916305542
notears,20,20,MLPNotears,19,3,1,0,4,0.86,110.08390951156616
notears,40,40,FCI,18,16,8,14,38,0.38,2.094226121902466
notears,40,40,Notears,9,0,31,0,31,1.0,40.06720685958862
notears,40,40,MLPNotears,36,3,4,0,7,0.92,306.55465817451477
notears,60,60,FCI,19,32,20,21,73,0.26,3.3811986446380615
notears,60,60,Notears,10,0,50,0,50,1.0,58.70943474769592
notears,60,60,MLPNotears,53,2,7,0,9,0.96,491.8763198852539
notears,80,80,FCI,32,63,13,35,111,0.25,26.697503089904785
notears,80,80,Notears,10,0,70,0,70,1.0,70.8267879486084
notears,80,80,MLPNotears,70,5,10,0,15,0.93,680.7085092067719
notears,100,100,FCI,40,119,15,45,179,0.2,13.24347996711731
notears,100,100,Notears,23,1,77,0,78,0.96,84.75727224349976
notears,100,100,MLPNotears,91,8,8,1,17,0.91,1048.6507551670074
notears,200,200,FCI,76,320,35,89,444,0.16,72.86460399627686
notears,200,200,Notears,41,2,159,0,161,0.95,259.51930379867554
notears,200,200,MLPNotears,177,9,22,1,32,0.95,2304.742110013962
notears,300,300,FCI,137,658,33,130,821,0.15,410.28005814552307
notears,300,300,Notears,60,2,240,0,242,0.97,676.7002294063568
notears,20,20,GIES,15,18,2,3,23,0.42,2.630958318710327
notears,40,40,GIES,28,22,5,7,34,0.49,3.7238616943359375
notears,60,60,GIES,47,21,8,5,34,0.64,4.686693429946899
notears,80,80,GIES,66,40,5,9,54,0.57,5.15117621421814
notears,100,100,GIES,75,60,8,17,85,0.49,6.635414123535156
notears,200,200,GIES,156,140,26,18,184,0.5,13.028765439987183
notears,300,300,GIES,230,256,28,42,326,0.44,21.933898210525513
notears,40,40,GIES,28,22,5,7,34,0.49,3.60505747795105
notears,60,60,GIES,47,21,8,5,34,0.64,4.757972955703735
notears,80,80,GIES,66,40,5,9,54,0.57,5.017781972885132
notears,400,400,GIES,315,386,25,60,471,0.41,38.88692307472229
notears,500,500,GIES,397,558,24,79,661,0.38,66.83854293823242
notears,300,300,MLPNotears,262,14,34,4,52,0.94,5197.410176038742
notears,300,300,MLPNotears,264,17,32,4,53,0.93,4569.415676832199
notears,400,400,FCI,183,1084,40,177,1301,0.13,4150.231557369232
notears,400,400,FCI,183,1085,40,177,1302,0.13,4382.123065233231
notears,400,400,Notears,80,2,319,1,322,0.96,1046.1399884223938
notears,400,400,Notears,80,2,319,1,322,0.96,1072.8061339855194
notears,400,400,MLPNotears,321,16,73,6,95,0.94,2816.544587612152
notears,400,400,MLPNotears,297,17,93,13,123,0.91,2893.4248552322388
notears,500,500,FCI,249,1637,26,225,1888,0.12,12619.182515621185
notears,500,500,FCI,249,1637,26,225,1888,0.12,13563.818653583527
notears,500,500,Notears,93,5,405,2,412,0.93,1797.3523170948029
notears,500,500,Notears,93,5,405,2,412,0.93,1804.2701740264893
notears,500,500,MLPNotears,415,46,61,24,131,0.86,14011.5607855319977
notears,500,500,MLPNotears,444,30,41,15,86,0.91,12024.364042758942
notears,20,20,DAS,14,3,5,1,9,0.78,5.2694175243377686
notears,40,40,DAS,26,0,11,3,14,0.9,11.133668184280396
notears,60,60,DAS,38,3,21,1,25,0.9,16.220574855804443
notears,80,80,DAS,54,3,26,0,29,0.95,23.741283893585205
notears,100,100,DAS,76,4,21,3,28,0.92,40.29501271247864
notears,200,200,DAS,96,10,96,8,114,0.84,80.32482981681824
notears,300,300,DAS,58,22,228,14,264,0.62,164.1775197982788
notears,400,400,DAS,30,19,354,16,389,0.46,281.273583650589
notears,500,500,DAS,35,11,455,10,476,0.62,434.1046531200409
notears,20,20,DAS,15,3,4,1,8,0.79,5.438474416732788
notears,20,20,DAS,14,1,6,0,7,0.93,4.8733556270599365
notears,20,20,DAS,14,2,5,1,8,0.82,4.835063457489014
notears,20,20,DAS,13,4,7,0,11,0.76,5.0462470054626465
notears,20,20,DAS,14,4,5,1,10,0.74,5.592288970947266
notears,20,20,DAS,15,2,5,0,7,0.88,5.31308126449585
notears,20,20,DAS,16,1,3,1,5,0.89,4.854090452194214
notears,20,20,DAS,14,2,5,1,8,0.82,5.354334354400635
notears,20,20,DAS,14,0,5,1,6,0.93,5.130585193634033
notears,40,40,DAS,28,1,10,2,13,0.9,10.485245943069458
notears,40,40,DAS,32,0,8,0,8,1.0,10.919164419174194
notears,40,40,DAS,30,3,8,2,13,0.86,10.470596075057983
notears,40,40,DAS,30,2,9,1,12,0.91,10.19697618484497
notears,40,40,DAS,31,3,9,0,12,0.91,10.342771768569946
notears,40,40,DAS,33,1,6,1,8,0.94,10.008626461029053
notears,40,40,DAS,31,2,7,2,11,0.89,11.462819814682007
notears,40,40,DAS,31,1,8,1,10,0.94,10.813115358352661
notears,40,40,DAS,30,1,9,1,11,0.94,11.83088207244873
notears,60,60,DAS,43,4,16,1,21,0.9,17.104835510253906
notears,60,60,DAS,44,2,15,1,18,0.94,16.58225178718567
notears,60,60,DAS,44,1,15,1,17,0.96,18.899093627929688
notears,60,60,DAS,42,4,16,2,22,0.88,16.945691108703613
notears,60,60,DAS,41,2,17,2,21,0.91,16.74127721786499
notears,60,60,DAS,46,6,13,1,20,0.87,16.942617893218994
notears,60,60,DAS,41,4,17,2,23,0.87,16.17900323867798
notears,60,60,DAS,46,3,13,1,17,0.92,16.9972665309906
notears,60,60,DAS,44,1,13,3,17,0.92,17.41624402999878
notears,80,80,DAS,53,1,26,1,28,0.96,22.751468896865845
notears,80,80,DAS,55,3,24,1,28,0.93,24.850674152374268
notears,80,80,DAS,50,4,29,1,34,0.91,24.39573335647583
notears,80,80,DAS,57,1,21,2,24,0.95,24.50215244293213
notears,80,80,DAS,55,1,23,2,26,0.95,24.542827129364014
notears,80,80,DAS,51,3,27,2,32,0.91,23.625845432281494
notears,80,80,DAS,48,3,30,2,35,0.91,23.222718477249146
notears,80,80,DAS,53,0,25,2,27,0.96,25.18344521522522
notears,80,80,DAS,53,1,24,3,28,0.93,24.55316925048828
notears,100,100,DAS,74,4,25,1,30,0.94,33.16371417045593
notears,100,100,DAS,73,3,26,1,30,0.95,30.481812715530396
notears,100,100,DAS,65,6,32,3,41,0.88,29.826844692230225
notears,100,100,DAS,65,7,31,4,42,0.86,29.928104877471924
notears,100,100,DAS,67,7,28,5,40,0.85,29.624778509140015
notears,100,100,DAS,62,4,36,2,42,0.91,30.92094135284424
notears,100,100,DAS,63,5,34,3,42,0.89,28.305803537368774
notears,100,100,DAS,71,3,26,3,32,0.92,30.408446073532104
notears,100,100,DAS,71,2,26,3,31,0.93,31.053809881210327
notears,200,200,DAS,101,5,94,5,104,0.91,82.19739770889282
notears,200,200,DAS,96,7,97,7,111,0.87,87.75856685638428
notears,200,200,DAS,101,8,93,6,107,0.88,84.12429094314575
notears,200,200,DAS,106,10,88,6,104,0.87,84.47292256355286
notears,200,200,DAS,100,8,92,8,108,0.86,84.65279746055603
notears,200,200,DAS,99,6,94,7,107,0.88,171.3912377357483
notears,200,200,DAS,110,13,81,9,103,0.83,81.85617733001709
notears,200,200,DAS,101,6,91,8,105,0.88,158.0913872718811
notears,200,200,DAS,97,7,98,5,110,0.89,115.95636987686157
notears,300,300,DAS,69,16,222,9,247,0.73,167.54943132400513
notears,300,300,DAS,69,14,216,15,245,0.7,206.04633450508118
notears,300,300,DAS,70,16,210,20,246,0.66,157.25699663162231
notears,300,300,DAS,74,12,215,11,238,0.76,208.00696110725403
notears,300,300,DAS,68,18,220,12,250,0.69,188.32867574691772
notears,300,300,DAS,66,16,224,10,250,0.72,223.22428464889526
notears,300,300,DAS,68,18,219,13,250,0.69,158.52885127067566
notears,300,300,DAS,66,20,217,17,254,0.64,155.54034805297852
notears,300,300,DAS,76,9,210,14,233,0.77,173.098881483078
notears,400,400,DAS,26,19,366,8,393,0.49,313.6821119785309
notears,400,400,DAS,38,22,352,10,384,0.54,283.309353351593
notears,400,400,DAS,26,17,361,13,391,0.46,359.65220618247986
notears,400,400,DAS,24,23,359,17,399,0.38,275.028733253479
notears,400,400,DAS,32,22,360,8,390,0.52,309.0914340019226
notears,400,400,DAS,27,32,364,9,405,0.4,319.2134609222412
notears,400,400,DAS,36,25,356,8,389,0.52,308.7376298904419
notears,400,400,DAS,26,24,367,7,398,0.46,332.41751194000244
notears,400,400,DAS,38,18,348,14,380,0.54,266.18839740753174
notears,500,500,DAS,28,18,457,15,490,0.46,442.80552887916565
notears,500,500,DAS,31,14,461,8,483,0.58,461.12393140792847
