dataname,d,b,num_env,gamma2,TMB,mode,etrue,espur,emiss,efals,shd,tpr,time
notears,20,3,10,0.5,1,aS,17,1,2,1,4,0.89,3.2688071727752686
notears,20,3,10,0.5,1,aS,19,0,1,0,1,1.0,3.2338063716888428
notears,20,3,10,0.5,1,aS,19,0,1,0,1,1.0,3.306447744369507
notears,20,3,10,0.5,1,aS,17,0,2,1,3,0.94,3.272595167160034
notears,20,3,10,0.5,1,aS,15,1,3,2,6,0.83,3.8190131187438965
notears,20,3,10,0.5,1,aS,15,1,3,2,6,0.83,3.3660662174224854
notears,20,3,10,0.5,1,aS,20,0,0,0,0,1.0,3.3340659141540527
notears,20,3,10,0.5,1,aS,19,0,1,0,1,1.0,3.261007070541382
notears,20,3,10,0.5,1,aS,15,1,3,2,6,0.83,3.283947467803955
notears,20,3,10,0.5,1,aS,13,2,6,1,9,0.81,3.3503966331481934
notears,20,3,10,0.5,1,aS,17,0,2,1,3,0.94,4.933347225189209
notears,20,3,10,0.5,1,aS,18,0,2,0,2,1.0,5.173715353012085
notears,20,3,10,0.5,1,aS,17,0,2,1,3,0.94,5.202548027038574
notears,20,3,10,0.5,1,aS,15,0,4,1,5,0.94,5.156895875930786
notears,20,3,10,0.5,1,aS,20,0,0,0,0,1.0,4.745563268661499
notears,20,3,10,0.5,1,aS,20,0,0,0,0,1.0,5.560134172439575
notears,20,3,10,0.5,1,aS,16,0,3,1,4,0.94,4.961178779602051
notears,20,3,10,0.5,1,aS,17,0,2,1,3,0.94,4.506132125854492
notears,20,3,10,0.5,1,aS,15,0,4,1,5,0.94,4.638096332550049
notears,20,3,10,0.5,1,aS,17,0,2,1,3,0.94,4.411072015762329
notears,20,4,10,0.5,1,aS,14,0,4,2,6,0.88,5.0814385414123535
notears,20,4,10,0.5,1,aS,17,0,2,1,3,0.94,4.794067144393921
notears,20,4,10,0.5,1,aS,15,0,4,1,5,0.94,4.850898265838623
notears,20,4,10,0.5,1,aS,15,0,4,1,5,0.94,4.553847312927246
notears,20,4,10,0.5,1,aS,14,0,4,2,6,0.88,4.585233926773071
notears,20,4,10,0.5,1,aS,17,0,2,1,3,0.94,4.695242881774902
notears,20,4,10,0.5,1,aS,14,0,4,2,6,0.88,4.804674863815308
notears,20,4,10,0.5,1,aS,14,0,4,2,6,0.88,4.9791669845581055
notears,20,4,10,0.5,1,aS,17,0,2,1,3,0.94,4.919857978820801
notears,20,4,10,0.5,1,aS,17,0,2,1,3,0.94,5.032166004180908
notears,20,5,10,0.5,1,aS,17,0,2,1,3,0.94,4.726136922836304
notears,20,5,10,0.5,1,aS,19,0,1,0,1,1.0,5.01881742477417
notears,20,5,10,0.5,1,aS,19,0,1,0,1,1.0,5.275046110153198
notears,20,5,10,0.5,1,aS,17,0,2,1,3,0.94,5.009867906570435
notears,20,5,10,0.5,1,aS,17,0,2,1,3,0.94,4.731907367706299
notears,20,5,10,0.5,1,aS,17,0,2,1,3,0.94,5.281398296356201
notears,20,5,10,0.5,1,aS,17,0,2,1,3,0.94,4.742247819900513
notears,20,5,10,0.5,1,aS,19,0,1,0,1,1.0,4.4790778160095215
notears,20,5,10,0.5,1,aS,19,0,1,0,1,1.0,5.136335611343384
notears,20,5,10,0.5,1,aS,19,0,1,0,1,1.0,4.656840801239014
notears,40,3,10,0.5,1,aS,29,2,7,4,13,0.83,10.08311128616333
notears,40,3,10,0.5,1,aS,32,1,6,2,9,0.91,9.606225490570068
notears,40,3,10,0.5,1,aS,30,1,6,4,11,0.86,10.210785388946533
notears,40,3,10,0.5,1,aS,34,1,4,2,7,0.92,9.965843915939331
notears,40,3,10,0.5,1,aS,33,1,4,3,8,0.89,10.149062395095825
notears,40,3,10,0.5,1,aS,38,1,2,0,3,0.97,10.368509531021118
notears,40,3,10,0.5,1,aS,35,1,5,0,6,0.97,9.60478925704956
notears,40,3,10,0.5,1,aS,32,1,5,3,9,0.89,10.051392316818237
notears,40,3,10,0.5,1,aS,37,1,2,1,4,0.95,10.139302015304565
notears,40,3,10,0.5,1,aS,33,1,6,1,8,0.94,9.700737237930298
notears,40,4,10,0.5,1,aS,31,1,5,4,10,0.86,9.909909725189209
notears,40,4,10,0.5,1,aS,28,1,7,5,13,0.82,9.722718954086304
notears,40,4,10,0.5,1,aS,26,1,7,7,15,0.76,9.277650594711304
notears,40,4,10,0.5,1,aS,25,1,8,7,16,0.76,9.725315570831299
notears,40,4,10,0.5,1,aS,27,1,7,6,14,0.79,9.679879426956177
