dataname,folder,num_env,gamma2,TMB,mode,etrue,espur,emiss,efals,time
erdos_renyi/d20_p0.11,m5_d1.0_n10,10,0.5,1,n,30,5,0,5,10.165919303894043
erdos_renyi/d20_p0.11,m5_d1.0_n10,10,0.5,1,n,29,6,1,5,10.634235382080078
erdos_renyi/d20_p0.11,m5_d1.0_n10,10,0.5,1,n,26,6,2,7,10.90323281288147
erdos_renyi/d20_p0.11,m5_d1.0_n10,10,0.5,1,n,25,5,3,7,10.459274291992188
erdos_renyi/d20_p0.11,m5_d1.0_n10,10,0.5,1,n,23,8,4,8,10.366634368896484
erdos_renyi/d20_p0.16,m5_d1.0_n10,10,0.5,1,n,27,14,8,8,11.31984543800354
erdos_renyi/d20_p0.16,m5_d1.0_n10,10,0.5,1,n,27,11,8,8,11.001600742340088
erdos_renyi/d20_p0.16,m5_d1.0_n10,10,0.5,1,n,21,15,11,11,11.41088342666626
erdos_renyi/d20_p0.16,m5_d1.0_n10,10,0.5,1,n,27,17,6,10,10.983020067214966
erdos_renyi/d20_p0.16,m5_d1.0_n10,10,0.5,1,n,24,14,9,10,11.335335493087769
erdos_renyi/d20_p0.22,m5_d1.0_n10,10,0.5,1,n,32,13,9,16,28.713107109069824
erdos_renyi/d20_p0.22,m5_d1.0_n10,10,0.5,1,n,28,16,10,19,27.938751697540283
erdos_renyi/d20_p0.22,m5_d1.0_n10,10,0.5,1,n,41,13,9,7,28.15488862991333
erdos_renyi/d20_p0.22,m5_d1.0_n10,10,0.5,1,n,31,14,11,15,27.991413354873657
erdos_renyi/d20_p0.22,m5_d1.0_n10,10,0.5,1,n,32,17,12,13,28.98163914680481
erdos_renyi/d40_p0.05,m5_d1.0_n10,20,0.5,1,n,59,7,13,11,42.362892389297485
erdos_renyi/d40_p0.05,m5_d1.0_n10,20,0.5,1,n,52,9,18,13,41.32453513145447
erdos_renyi/d40_p0.05,m5_d1.0_n10,20,0.5,1,n,54,8,19,10,41.49978470802307
erdos_renyi/d40_p0.05,m5_d1.0_n10,20,0.5,1,n,48,7,19,16,41.642860889434814
erdos_renyi/d40_p0.05,m5_d1.0_n10,20,0.5,1,n,57,8,14,12,41.3284170627594
erdos_renyi/d40_p0.07,m5_d1.0_n10,20,0.5,1,n,54,19,21,15,43.89927053451538
erdos_renyi/d40_p0.1,m5_d1.0_n10,20,0.5,1,n,40,16,47,22,167.53548955917358
erdos_renyi/d40_p0.1,m5_d1.0_n10,20,0.5,1,n,46,14,38,25,159.08521056175232
erdos_renyi/d40_p0.1,m5_d1.0_n10,20,0.5,1,n,44,14,44,21,160.75253319740295
erdos_renyi/d40_p0.1,m5_d1.0_n10,20,0.5,1,n,40,20,49,20,160.91750836372375
erdos_renyi/d40_p0.1,m5_d1.0_n10,20,0.5,1,n,44,17,43,22,161.2160415649414
erdos_renyi/d60_p0.03,m5_d1.0_n10,20,0.5,1,n,63,7,19,22,64.04899668693542
erdos_renyi/d60_p0.03,m5_d1.0_n10,20,0.5,1,n,63,7,24,17,73.06533217430115
erdos_renyi/d60_p0.03,m5_d1.0_n10,20,0.5,1,n,53,11,30,21,64.70880722999573
erdos_renyi/d60_p0.03,m5_d1.0_n10,20,0.5,1,n,59,7,25,20,63.938518047332764
erdos_renyi/d60_p0.03,m5_d1.0_n10,20,0.5,1,n,56,8,28,20,63.35329794883728
erdos_renyi/d60_p0.05,m5_d1.0_n10,20,0.5,1,n,57,15,52,23,69.8385853767395
erdos_renyi/d60_p0.05,m5_d1.0_n10,20,0.5,1,n,72,11,40,20,69.56283068656921
erdos_renyi/d60_p0.05,m5_d1.0_n10,20,0.5,1,n,60,9,51,21,71.49952483177185
erdos_renyi/d60_p0.05,m5_d1.0_n10,20,0.5,1,n,66,6,42,24,72.19496250152588
erdos_renyi/d60_p0.05,m5_d1.0_n10,20,0.5,1,n,47,14,54,31,71.4308762550354
erdos_renyi/d60_p0.07,m5_d1.0_n10,20,0.5,1,n,64,17,67,27,82.91442227363586
erdos_renyi/d60_p0.07,m5_d1.0_n10,20,0.5,1,n,47,20,79,32,82.31857585906982
erdos_renyi/d60_p0.07,m5_d1.0_n10,20,0.5,1,n,61,14,70,27,82.95506882667542
erdos_renyi/d60_p0.07,m5_d1.0_n10,20,0.5,1,n,72,14,65,21,83.05267095565796
erdos_renyi/d60_p0.07,m5_d1.0_n10,20,0.5,1,n,64,12,73,21,84.13567614555359
erdos_renyi/d80_p0.03,m5_d1.0_n10,20,0.5,1,n,72,6,56,34,95.72588443756104
erdos_renyi/d80_p0.03,m5_d1.0_n10,20,0.5,1,n,82,11,50,30,94.5245156288147
erdos_renyi/d80_p0.03,m5_d1.0_n10,20,0.5,1,n,68,11,62,32,92.84277510643005
erdos_renyi/d80_p0.03,m5_d1.0_n10,20,0.5,1,n,78,14,52,32,92.61172008514404
erdos_renyi/d80_p0.03,m5_d1.0_n10,20,0.5,1,n,74,13,51,37,93.55994701385498
erdos_renyi/d80_p0.04,m5_d1.0_n10,20,0.5,1,n,111,10,53,24,100.02186989784241
erdos_renyi/d80_p0.04,m5_d1.0_n10,20,0.5,1,n,101,13,66,21,99.41248559951782
erdos_renyi/d80_p0.04,m5_d1.0_n10,20,0.5,1,n,104,10,61,23,105.35276579856873
erdos_renyi/d80_p0.04,m5_d1.0_n10,20,0.5,1,n,101,14,60,27,113.91068172454834
erdos_renyi/d80_p0.04,m5_d1.0_n10,20,0.5,1,n,102,13,59,27,106.94631123542786
erdos_renyi/d80_p0.05,m5_d1.0_n10,20,0.5,1,n,95,13,81,33,198.01882910728455
erdos_renyi/d80_p0.05,m5_d1.0_n10,20,0.5,1,n,90,18,86,33,198.0822033882141
erdos_renyi/d80_p0.05,m5_d1.0_n10,20,0.5,1,n,81,15,89,39,197.49751996994019
erdos_renyi/d80_p0.05,m5_d1.0_n10,20,0.5,1,n,84,12,93,32,196.96016693115234
erdos_renyi/d80_p0.05,m5_d1.0_n10,20,0.5,1,n,77,20,96,36,219.55454850196838
