dataname,d,baseline,shd,precision,recall,F1,spuriousness,time,shd_ci95,precision_ci95,recall_ci95,F1_ci95,spuriousness_ci95,time_ci95
notears,100,DAS,49.0,0.9629629629629629,0.5252525252525253,0.6797385620915033,3.7037037037037033,0.43817867040634156,0.0,0.0,0.0,0.0,0.0,0.0
notears,100,GIES,26.0,0.8141592920353983,0.9484536082474226,0.8761904761904761,16.8141592920354,0.08827283183733622,0.0,0.0,0.0,0.0,0.0,0.014575360854466764
notears,100,MLPNotears,58.5,0.665016501650165,0.7336956521739131,0.6976657229848833,26.601630751310427,60.23838629523913,0.9800000000000001,0.003234323432343165,0.01065217391304347,0.006595801506329719,0.25684333139196325,4.17763763737679
notears,100,Notears,52.0,1.0,0.47474747474747475,0.6438356164383562,0.0,4.161434282859167,0.0,0.0,0.0,0.0,0.0,0.08761518677075646
notears,100,SCORE,36.0,0.9701492537313433,0.6565656565656566,0.7831325301204819,2.9850746268656714,9.295885264873505,0.0,0.0,0.0,0.0,0.0,0.0
notears,200,DAS,172.0,0.7906976744186046,0.17258883248730963,0.2833333333333333,16.27906976744186,1.2471873084704082,0.0,0.0,0.0,0.0,0.0,0.0
notears,200,GIES,91.0,0.6830188679245283,0.9627659574468085,0.7991169977924945,27.547169811320753,0.18364086349805195,0.0,0.0,0.0,0.0,0.0,0.01570618891716002
notears,200,MLPNotears,152.0,0.5836309523809524,0.6522820864790666,0.6160497921077468,35.89285714285714,181.23777529795964,15.680000000000001,0.04141666666666657,0.04556966369251877,0.043396678825600124,3.1499999999999972,15.75814123551049
notears,200,Notears,110.0,1.0,0.4472361809045226,0.6180555555555556,0.0,25.03337403138478,0.0,0.0,0.0,0.0,0.0,0.08557744153340738
notears,200,SCORE,82.0,0.8571428571428571,0.700507614213198,0.770949720670391,13.043478260869565,36.40013624827066,0.0,0.0,0.0,0.0,0.0,0.0
notears,300,DAS,149.0,0.936046511627907,0.5384615384615384,0.6836518046709129,6.395348837209303,2.7190710226694743,0.0,0.0,0.0,0.0,0.0,0.0
notears,300,GIES,155.0,0.657074340527578,0.958041958041958,0.7795163584637269,31.17505995203837,0.2927835504213969,0.0,0.0,0.0,0.0,0.0,0.015483197053273544
notears,300,MLPNotears,275.5,0.5068925592922915,0.6017857142857143,0.5502753535881264,43.59634205908425,264.4024633705616,36.260000000000005,0.05458726052426861,0.059500000000000004,0.057041321697222896,5.5092533965302035,20.34047549525896
notears,300,Notears,138.0,1.0,0.5384615384615384,0.7000000000000001,0.0,22.853722838560742,0.0,0.0,0.0,0.0,0.0,2.360978141625725
notears,300,SCORE,110.0,0.8620689655172413,0.7525083612040134,0.8035714285714287,13.793103448275861,81.92681642373402,0.0,0.0,0.0,0.0,0.0,0.0
notears,400,DAS,218.0,0.8619246861924686,0.5268542199488491,0.6539682539682539,10.460251046025103,4.62344804207484,0.0,0.0,0.0,0.0,0.0,0.0
notears,400,GIES,253.0,0.5954323001631321,0.9864864864864865,0.7426246185147506,35.725938009787924,0.46349062720934553,0.0,0.0,0.0,0.0,0.0,0.01575938328107196
notears,400,MLPNotears,351.5,0.5350183840683851,0.6536729222520108,0.5861246672582077,39.36570298064541,496.2550883928934,151.9,0.1733688572015156,0.051601072386059106,0.12619565217391296,14.858489333507526,81.33533392747248
notears,400,Notears,186.0,1.0,0.5338345864661654,0.696078431372549,0.0,71.58149746855099,0.0,0.0,0.0,0.0,0.0,2.9468137735525763
notears,400,SCORE,187.0,0.8017751479289941,0.6930946291560103,0.7434842249657065,17.45562130177515,142.87041273117066,0.0,0.0,0.0,0.0,0.0,0.0
notears,500,DAS,283.0,0.8450704225352113,0.5010438413361169,0.6290956749672346,8.450704225352112,7.3629239201545715,0.0,0.0,0.0,0.0,0.0,0.0
notears,500,GIES,404.0,0.5232419547079857,0.9909706546275395,0.6848673946957878,41.00119189511323,0.7171215911706288,0.0,0.0,0.0,0.0,0.0,0.01153224603335073
notears,500,MLPNotears,459.5,0.5154244652406417,0.5918445994750101,0.5509915555020972,44.344585561497325,850.9971449375153,46.059999999999995,0.04104077540106946,0.05469046738192139,0.04715206778509011,4.239024064171125,169.67216747204455
notears,500,Notears,300.0,0.7740519751996509,0.5188704610737924,0.6204949279576146,19.337473489806893,27.806199999650318,133.28,0.12535034044669036,0.15726779384547823,0.15328448665762098,6.150669223822133,4.183188274542492
notears,500,SCORE,300.0,0.6875,0.6875,0.6875,27.291666666666664,220.51649855772655,0.0,0.0,0.0,0.0,0.0,0.0
