,p,d,baseline,shd,precision,recall,F1,spuriousness,time,shd_ci95,precision_ci95,recall_ci95,F1_ci95,spuriousness_ci95,time_ci95
0,easy,20,GIES,28.0,0.49056603773584906,0.9629629629629629,0.65,35.84905660377358,0.0366709033648173,0.0,0.0,0.0,0.0,0.0,0.0
1,easy,20,PC,19.0,0.85,0.5151515151515151,0.6415094339622641,5.0,1.3943584243456522,0.0,0.0,0.0,0.0,0.0,0.0
2,easy,40,GIES,94.0,0.336283185840708,0.6666666666666666,0.4470588235294118,43.36283185840708,0.04272863467534383,0.0,0.0,0.0,0.0,0.0,0.0
3,easy,40,PC,65.0,0.6216216216216216,0.3108108108108108,0.41441441441441434,13.513513513513514,10.418241715431213,0.0,0.0,0.0,0.0,0.0,0.0
4,easy,60,GIES,124.0,0.3630952380952381,0.782051282051282,0.49593495934959353,48.214285714285715,0.050925469398498534,0.0,0.0,0.0,0.0,0.0,0.0
5,easy,60,PC,67.0,0.7586206896551724,0.4536082474226804,0.567741935483871,12.068965517241379,19.566292754809062,0.0,0.0,0.0,0.0,0.0,0.0
6,easy,80,GIES,152.0,0.4567307692307692,0.7089552238805971,0.5555555555555556,40.86538461538461,0.06186779737472535,0.0,0.0,0.0,0.0,0.0,0.0
7,easy,80,PC,105.0,0.8805970149253731,0.3782051282051282,0.5291479820627801,2.9850746268656714,27.848571014404296,0.0,0.0,0.0,0.0,0.0,0.0
8,easy,100,GIES,185.0,0.4419475655430712,0.7662337662337663,0.5605700712589075,40.823970037453186,0.0821370005607605,0.0,0.0,0.0,0.0,0.0,0.0
9,easy,100,PC,150.75,0.7268890459847439,0.2713557161070973,0.3951420125947822,8.860272738674846,42.948218653599426,1.4700000000000006,0.00765963744421855,0.008311710081601618,0.009454512970435869,0.21692477378379046,12.252575514744462
10,easy,200,GIES,323.0,0.4748062015503876,0.8249158249158249,0.6027060270602705,42.054263565891475,0.17745918830235802,0.0,0.0,0.0,0.0,0.0,0.010026919523874973
11,easy,200,PC,241.66666666666666,0.7907904045276224,0.34872330880510843,0.48398413623708625,2.784744999678436,97.97784753110675,0.6533333333333357,0.009769116985015137,0.0031247944085129003,0.0012457432155509685,0.7429920056010842,21.37981485128597
12,easy,300,GIES,589.0,0.4148681055155875,0.7740492170022372,0.5402029664324747,45.08393285371702,0.4277615467707316,0.0,0.0,0.0,0.0,0.0,0.0
13,easy,300,PC,373.0,0.8179001978128616,0.3621082111225185,0.5019696694345411,1.7280633001157018,186.64349830283058,0.0,0.010209295149525663,0.005641163378283356,0.006891827755940167,0.8193184787071249,35.19728759471125
14,easy,400,GIES,762.0,0.4107308048103608,0.7803163444639719,0.5381818181818182,45.6059204440333,1.0730677127838135,0.0,0.0,0.0,0.0,0.0,0.0
15,easy,400,PC,456.0,0.8333333333333334,0.39156626506024095,0.5327868852459016,0.9615384615384616,196.9178702155749,0.0,0.0,0.0,0.0,0.0,0.0
16,easy,500,GIES,1000.0,0.3774145616641902,0.7582089552238805,0.503968253968254,48.14264487369985,1.9465699434280392,0.0,0.0,0.0,0.0,0.0,0.0
17,easy,500,PC,493.0,0.866822429906542,0.459727385377943,0.6008097165991902,0.9345794392523363,313.87564068635305,0.0,0.0,0.0,0.0,0.0,0.0
18,hard,20,GIES,45.0,0.48,0.5581395348837209,0.5161290322580644,24.0,0.04009083112080892,0.0,0.0,0.0,0.0,0.0,0.0
19,hard,20,PC,45.0,0.7,0.2641509433962264,0.3835616438356165,10.0,14.1521790544192,0.0,0.0,0.0,0.0,0.0,0.0
20,hard,40,GIES,118.0,0.35344827586206895,0.4880952380952381,0.4099999999999999,43.103448275862064,0.04193718830744427,0.0,0.0,0.0,0.0,0.0,0.0
21,hard,40,PC,97.0,0.6842105263157895,0.125,0.21138211382113822,5.263157894736842,35.95048439900081,0.0,0.0,0.0,0.0,0.0,0.0
22,hard,60,GIES,135.0,0.45454545454545453,0.625,0.5263157894736842,31.515151515151512,0.05015544493993123,0.0,0.0,0.0,0.0,0.0,0.0
23,hard,60,PC,145.0,0.6956521739130435,0.1038961038961039,0.18079096045197743,13.043478260869565,29.53346703052521,0.0,0.0,0.0,0.0,0.0,0.0
24,hard,80,GIES,181.0,0.4711111111111111,0.6309523809523809,0.5394402035623409,34.66666666666667,0.06230472723642985,0.0,0.0,0.0,0.0,0.0,0.0
25,hard,80,PC,179.0,0.8048780487804879,0.16176470588235295,0.2693877551020408,7.317073170731707,62.5937379360199,0.0,0.0,0.0,0.0,0.0,0.0
26,hard,100,GIES,248.0,0.46953405017921146,0.5670995670995671,0.5137254901960784,37.634408602150536,0.07863434155782063,0.0,0.0,0.0,0.0,0.0,0.0
27,hard,100,PC,230.0,0.8075060532687651,0.1735865535766231,0.2857161228157438,3.480629539951574,67.17065281073252,1.1316065276116665,0.027288135593220332,0.0007412568895356849,0.0010040987229154319,1.8687225344479623,3.3110161827492792
28,hard,200,GIES,443.0,0.5171790235081374,0.6190476190476191,0.5635467980295567,30.92224231464738,0.26207761764526366,0.0,0.0,0.0,0.0,0.0,0.0
29,hard,200,PC,491.3333333333333,0.7597635392829901,0.130939228183191,0.22337428990412533,4.302059496567505,194.9111207842827,2.847813976446572,0.020307408601834945,0.00498268784529248,0.008003371617191482,0.08970251716247095,43.36621266441921
30,hard,300,GIES,712.0,0.4867052023121387,0.6110304789550073,0.5418275418275419,35.95375722543353,0.5034303545951844,0.0,0.0,0.0,0.0,0.0,0.0
31,hard,300,PC,720.0,0.8127936507936508,0.12773760978670012,0.22077713683347489,0.0,269.80369387666383,1.9600000000000002,0.021964444444444415,0.001984284818067764,0.0037741091036865657,0.0,91.87229516005517
32,hard,400,GIES,1026.0,0.4384805945499587,0.6054732041049031,0.5086206896551724,37.9851362510322,0.9876753052075704,0.0,0.0,0.0,0.0,0.0,0.0
33,hard,400,PC,961.0,0.834319526627219,0.13128491620111732,0.22687047465808527,2.9585798816568047,395.08352233568826,0.0,0.0,0.0,0.0,0.0,0.0
