,p,d,mode,shd,precision,recall,F1,spuriousness,time,shd_ci95,precision_ci95,recall_ci95,F1_ci95,spuriousness_ci95,time_ci95
8,easy,100,aS,103.2,0.7636641196447231,0.5617265937150518,0.6471061865424433,3.4111377770525566,1.3615719254811605,8.64179981253905,0.030541674060128185,0.04029144592429214,0.037431029391961024,1.001073195806889,0.02688572346064788
9,easy,100,n,123.5,0.6336819309254168,0.49374082089690213,0.5547537515856882,5.4190482757942275,0.8257466741402943,3.7786170309607536,0.019792989377554495,0.020042937460152736,0.018762157391918017,0.8626445635254593,0.004635285066500198
10,easy,200,aS,180.0,0.7506801150455467,0.6007809706664402,0.6671161371126374,3.9844104723169855,3.8458888475100195,8.10502066622905,0.023026660188519357,0.023849934482587244,0.019627536649215148,0.5495166243852248,0.042723608001085996
11,easy,200,n,207.0,0.6227976761200626,0.5740591173293778,0.5973737972313785,4.131029544355614,3.797332195440928,14.442952606721382,0.038833057626914254,0.038057985626557274,0.03800836940032186,0.6451764567220786,0.02252286429097753
12,easy,300,aS,328.2,0.6991948576805141,0.5182735512175218,0.5952519840451942,3.127459254778496,9.46037986755371,10.652739741493733,0.020870760844930482,0.017611163257013136,0.0185990972374753,0.2116106417746413,1.1757639981675398
13,easy,300,n,343.2,0.6125455053734488,0.5334144079119569,0.5702310772789488,3.2312879438720588,8.296326941649118,8.730254520917475,0.013809182009812383,0.01513928301212481,0.014393693947760246,0.45837177865540363,0.19421414503504958
14,easy,400,aS,400.0,0.7156333296508979,0.5543802605908305,0.6246475168136709,4.418444838102251,10.155425142447154,19.959306601182316,0.026483719266531144,0.02696992624905889,0.02618575712100983,0.46400908864678936,0.02816238780002293
15,easy,400,n,432.2,0.6456959752563516,0.5254535378410783,0.5793017487923586,3.766141316077804,10.107425498167673,18.824164895155374,0.023938021706911537,0.02837611572042325,0.02632991069153859,0.5788436570245432,0.01219841187968254
16,easy,500,aS,478.2,0.7138315915646652,0.5542100952359209,0.623966831397883,2.7708829855082895,15.047070071697235,18.106411682053402,0.022050825799650172,0.017360733315826313,0.019310296318559097,0.1709184704673625,0.02154262846382102
17,easy,500,n,540.4,0.6174680220728809,0.5075903388435664,0.5571048146424097,3.7793332682052094,14.850276471773782,21.305479482987465,0.02881187621832467,0.02233306518273802,0.024511734724720628,0.474896838626585,0.03619116447359663
26,hard,100,aS,179.0,0.7165713567889482,0.43835735872243464,0.5437266289060216,7.927966167873203,4.0311822414398195,7.937395038676099,0.030578625244052988,0.02462679296162102,0.02584780945299295,1.6959994227356034,0.10237525268036646
27,hard,100,n,207.2,0.6171483087391831,0.34049355169767187,0.4386420899764837,10.826667329892311,1.0297851065794625,3.4669784475181804,0.018972288636849893,0.010561155410504735,0.011957808118897845,1.102106565214276,0.008662507223682144
28,hard,200,aS,377.0,0.6848040423699441,0.42034181225503275,0.5205577682941345,7.939881237579942,11.99580154657364,8.128685010504466,0.019798634964548218,0.02232510439217646,0.01940798486229589,1.4063856953746552,0.07049001057017153
29,hard,200,n,383.0,0.6429699899321021,0.4204671228625025,0.5082657819532093,7.542510033799769,12.332820775508882,13.0748307828438,0.015411258420838524,0.02527987510262552,0.023232630548980254,1.3384163366874944,0.2611256793029223
30,hard,300,aS,544.1666666666666,0.691525703268323,0.4247577415357405,0.5261186917976941,5.637954177075771,10.123431972662608,19.49135443671829,0.029971141180897273,0.01972931638034553,0.022664641031698397,0.9795839397754063,0.5636528986617099
31,hard,300,n,568.0,0.6637957069480737,0.3941758028487892,0.49462134857561546,5.731723640903891,9.826757892767588,10.127720375286824,0.016354122498201763,0.008116363953669667,0.010786480958140242,0.730982749111163,0.022989087475556932
32,hard,400,aS,702.4,0.7218405937640092,0.4369983156085981,0.5442852196782855,4.400062957838527,16.47492934068044,24.843338261996905,0.021276018886106297,0.0240170397978491,0.024160791990829582,0.5888695309049946,0.04908945602963373
33,hard,400,n,779.8,0.6461098693424581,0.3715745407075456,0.4716245729818637,5.762668889664869,16.835220603148144,15.350691971373784,0.010810871008028569,0.019350840643522806,0.017778778147852628,0.8676399989291207,0.036499278989821554
34,hard,500,aS,791.6,0.7430087049311347,0.49602162335679817,0.5948651364205184,3.961675088503982,25.964492832819623,16.42896271832158,0.013367056194629027,0.011289233093617871,0.011692056652345652,0.2603996294040347,5.074858449541157
35,hard,500,n,869.0,0.6851030063944596,0.442838725790314,0.5378453156021614,4.451765137890749,24.963873601754507,17.06438630598828,0.020464987486490054,0.013239284126215105,0.014202855255093115,0.6664693384002797,1.0632244680540675
44,intermediate,100,aS,126.4,0.7318056994778669,0.5546234767659572,0.6309034945815161,6.4932402049214515,1.6558376113573707,6.721399854197041,0.028841037830214154,0.0239328185603518,0.024964189301924344,1.0493664400639449,0.025358900094694898
45,intermediate,100,n,145.0,0.6728406721147387,0.46427165296971956,0.5488457841943387,6.418453728369604,1.4692529233296712,5.566768062948796,0.02846794522314691,0.02448274279868878,0.023906619284558513,1.1762321919976901,1.1919179972885585
46,intermediate,200,aS,248.4,0.7642785864999445,0.5538933097517486,0.6420950667674616,4.411524524659345,5.225993132591247,16.37040060597174,0.024675842038415805,0.033564643405573934,0.03071874603844853,0.7977300365791937,0.04298641731747274
47,intermediate,200,n,268.6,0.685146694377366,0.5426789005696078,0.6054302181117379,5.224566295885069,5.836062636375427,5.494995541399467,0.010203153617786974,0.018642086001022753,0.012283674460182711,0.9118732819522144,0.1645762769338433
48,intermediate,300,aS,439.8,0.710196211547002,0.48323418570012455,0.5750805999860911,5.160529488268848,2.71252108335495,11.831648405864668,0.015099590154409552,0.015703987947329693,0.01552094945946382,0.46646707557479533,0.06392429484784919
49,intermediate,300,n,469.0,0.6548661684631366,0.4518366040265149,0.5346405319115479,5.475651491893037,8.783221970399222,10.481877694382815,0.014020244946088134,0.016290380289366614,0.015184067442016618,0.9216671228261796,0.13096048005908872
50,intermediate,400,aS,499.0,0.7217535519487217,0.5148014811526642,0.6008542591386856,3.836577648953347,11.84808493534724,16.031314356595967,0.019728592020129665,0.01889129948470701,0.01832949889482855,0.3405573792314713,0.01660265840789113
51,intermediate,400,n,546.8,0.6499809225615442,0.47582942053712995,0.5494056532603255,4.989743576536275,12.229375386238098,18.86493636352904,0.022219841918739873,0.02140672168638738,0.022067170782501904,0.4842532515050437,0.08782200792897753
