dataname,mode,shd,espur,precision,recall,F1,time,spuriousness,shd_ci95,espur_ci95,precision_ci95,recall_ci95,F1_ci95,time_ci95,spuriousness_ci95
alarm,aL-Re,30.4,2.4,0.666290893015031,0.457426516572858,0.5411730852426829,80.2957881450653,8.956233421750664,1.9203999583420117,0.4800999895855028,0.034344846854368935,0.04835778360174892,0.040188970183106534,1.5723470377782889,2.0124645598226945
alarm,aS,16.6,2.0,0.843627450980392,0.7435783161818329,0.789528357331766,39.30880103111267,5.328808446455506,2.600233835638633,0.6198064213930023,0.029871297331911767,0.05554943580292159,0.03959218635288523,0.7560110827905502,1.5017797888386124
alarm,n,27.8,5.6,0.5589796637471056,0.7254669287069666,0.6306872378451326,43.30177164077759,13.137269707037149,1.9988156493283713,0.48009998958550293,0.03856204507559147,0.036214113727896347,0.03245530925844544,0.40766525725042363,0.9298545503348676
andes,aL-Re,257.4,6.2,0.5634498724497059,0.3133611400243871,0.4026013672724294,1250.213185787201,3.9970027104437498,2.813129218503833,1.900290504107201,0.009398605953714083,0.014517545113092617,0.01380092151404456,18.733770653648094,1.1267926272555593
andes,aS,197.8,7.2,0.7225841629037719,0.5100477162733493,0.59793485375366,412.5626289844513,3.5279492665244447,9.387561131625185,1.4402999687565086,0.02716042995021257,0.025827334008853224,0.026812835330609297,0.255995274895239,0.6679338923827884
andes,n,238.2,8.2,0.5045213749039779,0.449400726486388,0.475300408022903,403.0959020614624,3.8339845880102175,4.97392239585621,1.900290504107201,0.0225856554695157,0.01527688167320504,0.017919150641819415,1.8725110842888657,0.9013748512020489
asia,aL-Re,3.2,0.0,1.0,0.6,0.7487179487179487,17.648842906951906,0.0,0.392,0.0,0.0,0.04899999999999999,0.04020512820512823,1.6867838642388209,0.0
asia,aS,0.0,0.0,1.0,1.0,1.0,8.206720304489135,0.0,0.0,0.0,0.0,0.0,0.0,0.23483450075994305,0.0
asia,n,6.0,1.0,0.4666666666666666,0.5952380952380952,0.4916083916083916,9.042842912673951,15.0,0.8765386471799175,0.0,0.18334121195192307,0.0626099033699941,0.11041012993389311,0.06887732314847744,2.0004166232729275
barley,aL-Re,61.6,4.8,0.6006896204570623,0.38585665925816415,0.4688547831347484,120.29055128097534,10.559966058304928,0.999407824664185,1.3001169178193166,0.026984093092980124,0.020499433007184882,0.0100214007792256,3.2286295785029595,2.650543927163599
